model	gene	Percentage_overlap	Percentage_off_target
H3K4me1_train_all_Test_Dl09_500	sna	0	100
H3K4me1_train_all_Test_Twi14_1500	sna	40	60
H3K4me1_train_all_Test_Dl09_2000	hb	36.6666666667	63.3333333333
H3K4me1_train_all_Test_Dl09_500	hb	0	100
H3K4me1_train_all_Test_Dl09_2000	rho	0	100
H3K4me1_train_all_Test_Twi14_1000	sog	90	10
H3K4me1_train_all_Test_Zld_1000	Kr	0	100
H3K4me1_train_all_Test_Twi14_1500	Kr	95	5
H3K4me1_train_all_Test_Dl15_500	Kr	0	100
H3K4me1_train_all_Test_Dl09_1000	vnd	0	100
H3K4me1_train_all_Test_Twi14_1000	vnd	100	0
H3K4me1_train_all_Test_Twi14_1500	brk	50	50
H3K4me1_train_all_Test_Dl09_1500	vnd	0	100
H3K4me1_train_all_Test_Dl15_1500	hb	50	50
H3K4me1_train_all_Test_Dl09_500	Kni	0	100
H3K4me1_train_all_Test_Dl15_500	Kni	0	100
H3K4me1_train_all_Test_Twi14_500	sog	0	100
H3K4me1_train_all_Test_Dl15_1000	Kr	0	100
H3K4me1_train_all_Test_Dl15_2000	sog	50	50
H3K4me1_train_all_Test_Twi14_500	vnd	0	100
H3K4me1_train_all_Test_Twi14_1500	sog	90	10
H3K4me1_train_all_Test_Twi14_1500	Kni	0	100
H3K4me1_train_all_Test_Twi14_1000	hb	33.3333333333	66.6666666667
H3K4me1_train_all_Test_Twi14_1500	eve	0	100
H3K4me1_train_all_Test_Twi14_1000	sna	0	100
H3K4me1_train_all_Test_Twi14_1500	hb	50	50
H3K4me1_train_all_Test_Zld_1000	sna	48.3333333333	51.6666666667
H3K4me1_train_all_Test_Dl15_1500	sog	100	0
H3K4me1_train_all_Test_Zld_2000	vnd	0	0
H3K4me1_train_all_Test_Dl09_1500	Kr	0	100
H3K4me1_train_all_Test_Dl15_1500	Kni	40	60
H3K4me1_train_all_Test_Zld_500	sna	0	100
H3K4me1_train_all_Test_Dl15_1000	sog	100	0
